id,texto,senales_semanticas,tipo_esperado,posible_problema
57,La aplicación falló después de actualizarla,la | despues,semantica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
58,La coordinación avisó a los alumnos cuando terminó la reunión,la | cuando | la,semantica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
59,El docente pidió al estudiante revisar su reporte,su,semantica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
60,La directora felicitó a la profesora porque ganó el concurso,la | la | porque,semantica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
61,El hospital atendió a la paciente antes de trasladarla,la | antes,semantica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
62,La policía detuvo al sospechoso después de perseguirlo,la | despues,semantica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
63,El comité sancionó al equipo porque incumplió el reglamento,porque,semantica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
64,La plataforma notificó al usuario cuando bloqueó la cuenta,la | cuando | la,semantica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
65,El profesor recomendó al alumno consultar su calificación,su,semantica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
66,La empresa revisó los contratos después de firmarlos,la | despues,semantica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
67,El sistema no detectó muchas inconsistencias,no | muchas,semantica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
68,La alumna explicó a la docente que estaba confundida,la | la,semantica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
69,El reporte contradijo la evidencia aunque parecía correcto,la | aunque,semantica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
70,La herramienta recomendó cambios antes de ejecutarlos,la | antes,semantica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
71,El equipo aprobó el plan sin revisar todos los riesgos,todos,semantica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
72,La noticia afirmó que el funcionario negó la acusación falsa,la | la,semantica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
